,herb,target
0,1314,1802
1,377,857
2,347,2448
3,1109,760
4,97,4450
5,840,2366
6,705,1064
7,1233,122
8,348,2894
9,1253,2460
10,242,4422
11,1182,2136
12,93,4715
13,1218,4569
14,742,5050
15,749,847
16,1408,184
17,919,2666
18,805,4897
19,389,3518
20,407,443
21,1447,2909
22,490,3663
23,1119,3068
24,1336,443
25,1487,4042
26,282,3256
27,710,4535
28,56,2257
29,371,2217
30,478,1192
31,321,4084
32,88,2843
33,681,1895
34,470,3863
35,131,4089
36,314,1230
37,1441,3184
38,956,4476
39,642,4537
40,240,2122
41,589,2565
42,689,4772
43,1080,3421
44,1280,2221
45,1088,3795
46,364,3882
47,1219,321
48,1292,3109
49,42,2533
50,1084,1239
51,1319,2430
52,962,1940
53,1098,4773
54,599,2947
55,22,3096
56,1346,2155
57,622,3143
58,362,1072
59,101,763
60,1381,3249
61,1274,5075
62,779,850
63,400,4345
64,1165,2128
65,1285,5186
66,6,3343
67,1332,2400
68,540,2540
69,357,3711
70,769,3282
71,901,588
72,935,4994
73,380,1743
74,1279,1262
75,1048,773
76,1332,2571
77,321,2487
78,755,4792
79,848,2040
80,678,1945
81,412,1447
82,142,2537
83,402,2905
84,217,1694
85,1219,681
86,690,3276
87,813,3138
88,1063,1748
89,721,2154
90,9,5060
91,775,209
92,1322,1826
93,805,370
94,654,4384
95,1455,4524
96,1030,3603
97,231,1152
98,301,3791
99,1444,4375
100,149,4255
101,1218,4434
102,1483,1291
103,442,1802
104,1474,1408
105,1437,4918
106,1002,4595
107,225,936
108,173,838
109,857,4803
110,555,231
111,1288,5143
112,214,2593
113,956,246
114,323,1881
115,860,2976
116,767,3706
117,981,2268
118,788,1762
119,1384,5131
120,1482,519
121,106,4243
122,92,794
123,187,3146
124,1308,1505
125,1100,2361
126,1053,3771
127,1023,4424
128,1313,3246
129,276,1429
130,245,5091
131,909,358
132,945,63
133,784,1555
134,31,971
135,78,1021
136,128,3621
137,553,570
138,1181,4170
139,225,960
140,1441,4941
141,248,4312
142,555,3141
143,723,1253
144,1075,4772
145,1014,4913
146,208,1264
147,611,2727
148,1358,3438
149,624,4108
150,749,3834
151,914,4967
152,670,4777
153,146,119
154,910,139
155,969,4847
156,148,4746
157,223,3439
158,493,2180
159,797,1156
160,713,4111
161,140,2639
162,1325,4963
163,960,3235
164,1438,3814
165,156,4498
166,1233,2723
167,1241,2867
168,1090,3642
169,906,217
170,904,1846
171,89,2007
172,97,3876
173,1312,3341
174,710,2448
175,1327,2936
176,622,1597
177,1030,2588
178,1328,2810
179,1027,1732
180,103,805
181,516,236
182,223,2353
183,794,534
184,532,3443
185,1314,3526
186,624,196
187,691,2080
188,1111,4814
189,742,2915
190,180,2878
191,39,4086
192,1176,1416
193,583,3815
194,965,871
195,1284,194
196,416,1929
197,296,2435
198,93,2461
199,1034,3605
200,1005,72
201,995,76
202,835,3210
203,501,4623
204,17,3478
205,911,1693
206,591,2668
207,189,5162
208,366,3097
209,830,3867
210,456,2377
211,737,253
212,528,2784
213,494,5153
214,288,4712
215,42,1638
216,488,4016
217,426,2578
218,565,2834
219,1062,534
220,370,2107
221,1125,1908
222,766,811
223,776,2684
224,1321,695
225,817,913
226,1241,801
227,675,3403
228,1427,303
229,277,2646
230,958,2771
231,342,1281
232,1440,2951
233,260,1591
234,269,2710
235,1099,4270
236,347,4290
237,1374,4794
238,1070,1944
239,584,949
240,581,4749
241,698,3698
242,60,4528
243,1158,874
244,1293,4313
245,108,3457
246,1097,2236
247,978,3547
248,1069,3464
249,617,4348
250,318,4814
251,1293,2232
252,519,1002
253,493,4766
254,653,4033
255,854,3804
256,697,4254
257,1350,5196
258,723,1175
259,36,116
260,399,888
261,831,3016
262,152,1560
263,1431,1661
264,398,2711
265,252,1671
266,766,1731
267,1236,1974
