,herb,target
0,337,127
1,531,211
2,314,3388
3,1483,212
4,400,917
5,510,3746
6,194,3401
7,158,1374
8,190,3682
9,1407,3820
10,352,2923
11,552,3726
12,469,3023
13,334,2354
14,603,4043
15,1326,3511
16,860,4699
17,290,3579
18,182,2639
19,34,2845
20,999,2241
21,727,1408
22,454,4197
23,966,3821
24,354,3508
25,946,3204
26,919,1939
27,1068,4026
28,210,4186
29,39,4481
30,291,896
31,470,1532
32,1220,2848
33,1132,4113
34,895,2021
35,786,279
36,1148,697
37,1312,439
38,282,1033
39,607,1472
40,965,2545
41,1274,164
42,696,4731
43,1444,2723
44,623,1154
45,1250,1267
46,637,2474
47,838,4018
48,224,2375
49,1412,461
50,811,1778
51,742,2816
52,849,2463
53,1456,2745
54,546,4994
55,1342,3402
56,985,2232
57,983,1942
58,1408,4613
59,1301,1891
60,74,2314
61,1461,1619
62,82,3337
63,939,2444
64,1294,4963
65,994,3334
66,711,726
67,351,2720
68,1377,1433
69,1458,2161
70,662,670
71,1339,1749
72,162,4542
73,215,4588
74,436,1675
75,970,1755
76,258,1333
77,1489,1984
78,534,4232
79,112,3198
80,231,4175
81,1474,4782
82,1398,4655
83,1465,2582
84,833,1031
85,1244,2640
86,226,2703
87,738,4238
88,922,1539
89,1492,1195
90,1021,4066
91,1270,3186
92,39,2411
93,918,2413
94,1056,2822
95,446,2624
96,112,1929
97,27,4644
98,1042,4068
99,608,4465
100,1184,2825
101,1449,193
102,1220,4178
103,40,3514
104,215,1165
105,578,1670
106,175,3922
107,152,1162
108,678,2174
109,817,3212
110,1172,5022
111,151,3755
112,1012,286
113,1167,1728
114,639,4657
115,1169,5079
116,723,4796
117,836,1804
118,655,3192
119,1152,1566
120,571,4885
121,483,308
122,1113,4405
123,172,1964
124,32,3068
125,1128,3774
126,1124,2485
127,21,1424
128,85,4950
129,959,746
130,1053,4671
131,773,1975
132,1304,844
133,708,4654
134,1000,740
135,823,5152
136,1283,2757
137,1004,631
138,980,4793
139,1066,499
140,1245,2482
141,1153,4840
142,229,3788
143,174,2381
144,1373,1086
145,1448,3726
146,745,1378
147,95,392
148,1055,1203
149,1169,1437
150,1438,545
151,1392,3112
152,42,1608
153,1283,1212
154,513,2533
155,713,2320
156,738,3815
157,492,5094
158,904,92
159,1173,3180
160,578,1864
161,235,2766
162,491,4365
163,712,2343
164,71,1778
165,717,1052
166,622,4097
167,144,2864
168,162,600
169,157,5150
170,1260,1691
171,1428,1820
172,1266,1752
173,397,945
174,1494,824
175,819,406
176,1359,4838
177,594,1810
178,847,5185
179,272,2228
180,521,1630
181,960,3369
182,1266,412
183,1482,4424
184,907,2194
185,902,2210
186,1489,4124
187,579,467
188,683,4884
189,731,4957
190,1061,1641
191,391,5015
192,24,4215
193,456,1434
194,243,3296
195,968,2886
196,1154,1520
197,1153,1770
198,797,3869
199,1144,3039
200,316,3663
201,1233,1499
202,1067,554
203,850,2452
204,323,3361
205,475,240
206,541,238
207,312,1086
208,1375,184
209,79,3099
210,740,439
211,93,2732
212,981,1809
213,590,2226
214,125,4532
215,1442,1503
216,269,5106
217,105,3871
218,1046,225
219,1482,2408
220,574,3720
221,645,3462
222,237,4613
223,243,1092
224,1026,1649
225,246,2368
226,41,4646
227,650,5097
228,618,403
229,47,2119
230,1069,5022
231,1090,4778
232,724,2100
233,1382,4412
234,11,808
235,45,51
236,488,396
237,1139,4725
238,882,2112
239,1366,3330
240,1015,4769
241,14,1934
242,40,3554
243,101,3499
244,121,2326
245,374,1466
246,1368,2257
247,60,3758
248,761,3737
249,439,3234
250,982,1209
251,965,2678
252,20,4578
253,135,713
254,1436,2632
255,192,546
256,1180,928
257,250,4099
258,1015,3260
259,638,5073
260,742,4215
261,119,2340
262,614,4564
263,1030,2782
264,337,2214
265,1004,2425
266,584,4003
267,1414,5196
268,1202,753
269,451,363
270,602,4138
271,356,4533
272,813,2407
273,283,1315
274,1375,4185
275,324,3163
276,191,487
277,620,2118
278,226,3848
279,1274,381
280,1419,374
281,663,902
282,1236,5133
283,881,2466
284,895,3976
285,1447,2458
286,719,4974
287,860,900
288,1347,5151
289,1007,1869
290,152,3812
291,1294,835
292,651,2533
293,143,3381
294,534,4692
295,777,922
296,431,3362
297,1406,592
298,615,1120
299,451,1563
300,1342,831
301,628,3668
302,421,2192
303,214,2571
304,421,2832
305,48,2842
306,767,3160
307,930,2297
308,33,106
309,377,4753
310,1134,2307
311,744,1030
312,1190,1391
313,291,1506
314,585,779
315,794,3092
316,505,541
317,611,5193
318,704,1635
319,1413,5196
320,575,1232
321,1144,3823
322,836,3974
323,1302,1200
324,415,4187
325,444,742
326,741,5003
327,886,3867
328,215,2427
329,472,3549
330,10,4954
331,849,2773
332,1205,631
333,181,3955
334,1351,2476
335,204,4385
336,544,1776
337,665,3972
338,25,5063
339,1018,211
340,284,2414
341,534,3675
342,1082,397
343,883,116
344,781,2721
345,239,1165
346,589,4102
347,1099,2298
348,854,2146
349,307,4843
350,963,1734
351,9,1588
352,283,2835
353,936,2128
354,713,2296
355,519,2623
356,1286,2024
357,579,747
358,1073,3795
359,1132,259
360,907,443
361,738,1784
362,228,2067
363,852,4817
364,805,2202
365,683,34
366,1126,5091
367,911,66
368,1260,3353
369,1333,4125
370,1206,2052
371,1126,1409
372,1241,1493
373,759,2860
374,910,75
375,1154,4433
376,334,3127
377,1013,319
378,194,4513
379,29,3020
380,14,4757
381,961,4952
382,994,3152
383,888,5050
384,919,374
385,166,2504
386,1363,3738
387,543,4917
388,647,1854
389,1332,4071
390,390,4095
391,935,1714
392,1296,4965
393,898,4890
394,676,3071
395,1054,1346
396,7,1073
397,1396,3784
398,816,433
399,319,756
400,1474,4770
401,1162,1101
402,708,4308
403,1276,3198
404,837,2250
405,1151,2546
406,41,5067
407,284,820
408,275,365
409,618,1801
410,812,305
411,55,3425
412,757,1798
413,1130,2844
414,1015,3505
415,1331,3619
416,589,1025
417,857,639
418,1030,5026
419,276,177
420,816,2086
421,1159,4419
422,393,3035
423,644,1992
424,332,793
425,1015,1181
426,382,1411
427,264,3820
428,1323,1486
429,1390,144
430,765,18
431,984,1768
432,385,1543
433,489,135
434,733,685
435,375,4058
436,968,4072
437,1205,2774
438,515,2071
439,1061,2581
440,1404,3624
441,1245,3551
442,435,4551
443,228,3429
444,472,2559
445,1473,3459
446,958,3234
447,631,4479
448,470,1406
449,1253,2972
450,258,214
451,1217,4595
452,707,2775
453,169,560
454,185,2641
455,61,5158
456,1481,329
457,434,3546
458,150,1682
459,47,3470
460,82,3795
461,935,4768
462,314,4588
463,428,3123
464,115,4113
465,563,769
466,781,780
467,69,880
468,176,2204
469,1124,2221
470,461,4781
471,1482,906
472,1296,1696
473,171,4932
474,1478,2245
475,1454,3524
476,634,392
477,387,1694
478,186,4997
479,858,4585
480,1071,890
481,82,2685
482,575,1907
483,674,2881
484,502,772
485,1086,8
486,739,3395
487,778,2885
488,21,4168
489,1053,4076
490,249,168
491,1062,4542
492,1381,598
493,499,2754
494,983,2424
495,280,49
496,1402,2264
497,204,1186
498,113,3081
499,1189,739
500,581,2840
501,354,2932
502,248,2884
503,1416,1617
504,34,3433
505,694,3234
506,1267,963
507,511,332
508,400,4740
509,687,1648
510,100,1745
511,512,4475
512,1047,3478
513,1021,3064
514,1147,5053
515,408,4694
516,803,2942
517,795,2712
518,843,4716
519,553,3753
520,958,1620
521,862,1865
522,1297,3190
523,1385,764
524,1187,3166
525,1102,4305
526,632,883
527,612,942
528,1162,2155
529,1487,1275
530,652,2687
531,1142,4245
532,1172,1249
533,62,4165
534,943,1776
535,920,2966
536,210,2561
537,1481,1259
538,924,1644
539,303,4924
540,864,2565
541,1078,654
542,1163,1711
543,128,1443
544,1414,4822
545,330,284
546,1008,193
547,166,3132
548,350,4820
549,481,4953
550,104,2297
551,531,5149
552,854,4979
553,661,787
554,123,602
555,175,3997
556,359,4559
557,1282,4933
558,1215,622
559,142,380
560,1462,771
561,1362,1657
562,646,366
563,785,3581
564,820,602
565,1065,3646
566,826,3963
567,638,4538
568,925,298
569,507,2582
570,1012,3598
571,1087,818
572,1408,2654
573,1062,4422
574,732,4326
575,1345,3543
576,638,4522
577,1030,1308
578,178,4562
579,1150,491
580,1087,2862
581,949,2970
582,776,3715
583,96,1545
584,1141,2675
585,1233,1268
586,748,1420
587,235,5001
588,866,3104
589,690,140
590,107,1188
591,1329,3089
592,1006,550
593,455,42
594,889,3275
595,1041,2523
596,921,4866
597,727,950
598,724,1007
599,282,648
600,106,3262
601,162,4966
602,399,3637
603,781,546
604,434,2022
605,1095,1630
606,871,54
607,1004,2168
608,939,1016
609,16,2672
610,1052,642
611,641,366
612,384,2745
613,9,980
614,931,2768
615,1216,4997
616,1319,1987
617,1480,2304
618,1311,2261
619,669,4483
620,1480,4447
621,1092,2701
622,35,2199
623,715,3345
624,135,4399
625,750,3617
626,988,4968
627,1002,3540
628,614,4670
629,970,4819
630,1378,3073
631,1349,2612
632,65,3424
633,934,640
634,752,1320
635,218,4310
636,30,2114
637,521,1693
638,281,2573
639,1104,4505
640,157,359
641,839,3496
642,646,670
643,136,4687
644,61,3228
645,35,3834
646,373,311
647,837,3011
648,923,1393
649,1460,3180
650,133,914
651,227,2537
652,1493,912
653,513,4685
654,223,1989
655,814,182
656,274,4283
657,19,2119
658,301,1727
659,615,1002
660,1079,3893
661,41,524
662,595,2395
663,627,258
664,156,1404
665,310,2329
666,408,3806
667,1474,1512
668,83,981
669,582,212
670,1033,281
671,747,1688
672,12,2600
673,455,142
674,982,3538
675,620,2358
676,1197,3515
677,125,1439
678,1445,347
679,1482,4806
680,1432,36
681,368,1374
682,1283,3670
683,1074,2368
684,1453,812
685,697,123
686,987,2032
687,270,400
688,178,762
689,244,1360
690,1310,4536
691,1114,4405
692,926,2415
693,252,982
694,867,3560
695,697,1346
696,225,2184
697,1180,3514
698,515,1090
699,514,2837
700,640,2876
701,81,2282
702,756,3114
703,1126,3606
704,827,2871
705,490,2449
706,1434,233
707,514,2547
708,424,3671
709,800,3994
710,1404,3991
711,472,2741
712,546,3530
713,736,2357
714,574,2934
715,741,2542
716,865,1433
717,346,4711
718,358,3300
719,659,1535
720,468,1286
721,207,4350
722,120,4800
723,143,3576
724,307,3493
725,649,4477
726,1398,1768
727,224,1104
728,883,705
729,619,3289
730,111,2058
731,1402,1128
732,47,363
733,975,3966
734,460,1446
735,636,2855
736,1180,864
737,557,2664
738,936,671
739,830,2294
740,1327,3817
741,51,5008
742,1024,4194
743,1331,1520
744,256,1770
745,1486,2210
746,386,207
747,481,3743
748,966,3847
749,321,27
750,12,2713
751,932,1555
752,1243,1500
753,1387,2153
754,536,2758
755,776,4237
756,144,1473
757,168,4533
758,177,1091
759,385,2467
760,1339,2901
761,172,2944
762,520,1415
763,872,2587
764,91,2447
765,289,5020
766,998,803
767,56,3440
768,1316,931
769,471,2353
770,1148,4473
771,829,1637
772,1045,215
773,1266,4360
774,438,4620
775,174,3761
776,1458,746
777,342,3960
778,1292,3039
779,492,2757
780,713,1423
781,80,2897
782,1232,911
783,1009,4290
784,1139,1680
785,362,575
786,1095,940
787,445,1081
788,1186,2360
789,1384,246
790,735,3059
791,420,74
792,670,4123
793,721,1277
794,426,4774
795,943,4163
796,1330,4113
797,1473,3932
798,150,3235
799,381,390
800,788,8
801,105,950
802,1302,1515
803,1137,951
804,316,4158
805,531,5141
806,458,1016
807,1327,2031
808,1251,3618
809,1487,1853
810,1336,1116
811,757,5181
812,1449,2788
813,1423,2880
814,578,3914
815,1196,5154
816,875,1693
817,1484,2722
818,363,1433
819,702,748
820,1025,2760
821,1028,1383
822,435,4246
823,300,2947
824,1438,446
825,565,4523
826,1172,4377
827,190,4210
828,735,4165
829,1467,246
830,1124,1261
831,1387,436
832,880,1798
833,1098,1247
834,982,4900
835,725,3977
836,190,31
837,35,4866
838,13,562
839,1476,2898
840,542,154
841,1349,1284
842,1245,2347
843,580,2095
844,1195,4642
845,861,3484
846,354,5149
847,1107,4845
848,773,3781
849,758,2772
850,106,3635
851,248,3114
852,1099,1826
853,653,3269
854,708,3713
855,32,842
856,147,314
857,126,1715
858,197,1907
859,642,2577
860,590,149
861,517,934
862,1166,3864
863,1365,5070
864,1157,3942
865,1198,3893
866,1065,3356
867,152,1738
868,1377,5079
869,375,1529
870,684,490
871,991,5121
872,548,4383
873,424,1809
874,1204,3438
875,1311,2317
876,735,4013
877,926,2070
878,583,2374
879,234,1001
880,1207,837
881,434,4964
882,1146,362
883,762,578
884,580,710
885,1102,4628
886,1116,4645
887,465,631
888,777,2291
889,1481,1107
890,769,4448
891,128,4162
892,137,121
893,294,3513
894,1427,355
895,789,280
896,628,2921
897,379,866
898,570,1869
899,423,498
900,1171,1995
901,686,1822
902,189,4065
903,1247,4571
904,784,4423
905,613,743
906,746,2281
907,634,3460
908,406,4374
909,1010,1704
910,1342,2820
911,1049,3335
912,1346,3568
913,155,2296
914,197,445
915,997,5109
916,1183,803
917,605,2719
918,1259,2027
919,790,3355
920,174,672
921,835,2743
922,83,3574
923,1121,3018
924,1386,2824
925,358,4888
926,71,2096
927,1397,2444
928,954,1482
929,1263,4810
930,486,1881
931,1469,2663
932,501,877
933,1226,223
934,785,4153
935,1125,461
936,676,2026
937,1320,4883
938,796,4244
939,1438,523
940,1393,2932
941,1465,519
942,904,4314
943,48,2945
944,166,1180
945,1402,2597
946,1236,1325
947,1489,3430
948,1121,4101
949,292,4737
950,522,412
951,789,2182
952,1050,3883
953,806,3004
954,338,81
955,780,2339
956,690,3944
957,385,5139
958,430,29
959,1132,3787
960,58,3413
961,174,498
962,89,4438
963,1480,2212
964,1340,601
965,610,2948
966,1300,3636
967,170,4577
968,221,305
969,1217,4989
970,1489,1003
971,890,2980
972,455,4815
973,1238,5140
974,1313,54
975,239,2919
976,1044,1340
977,1371,842
978,851,2661
979,449,4627
980,650,3945
981,1108,4087
982,373,1112
983,1220,2800
984,1114,2696
985,895,2631
986,396,3905
987,134,2069
988,622,796
989,951,3435
990,365,4837
991,1010,80
992,581,9
993,147,4772
994,1118,1330
995,1162,3828
996,567,2539
997,1437,53
998,34,2173
999,599,4037
1000,1008,2273
1001,1022,1878
1002,883,1278
1003,711,1680
1004,1067,2395
1005,729,4058
1006,1368,1394
1007,705,1462
1008,240,3874
1009,1230,4731
1010,420,2618
1011,966,1131
1012,268,2466
1013,262,1284
1014,226,1916
1015,1024,3697
1016,222,4449
1017,828,2891
1018,685,4923
1019,559,4245
1020,1241,2308
1021,875,1374
1022,1238,2580
1023,816,2689
1024,1060,450
1025,1484,274
1026,476,633
1027,256,2854
1028,797,3763
1029,387,522
1030,1367,4698
1031,829,1356
1032,95,1207
1033,564,27
1034,1068,1103
1035,1403,3471
1036,701,1877
1037,8,3766
1038,440,221
1039,696,4425
1040,78,4671
1041,1386,2439
1042,1382,4658
1043,1465,4479
1044,1113,3062
1045,0,2610
1046,627,4388
1047,1367,3768
1048,159,1320
1049,1403,2941
1050,1359,4390
1051,556,4886
1052,200,2829
1053,1276,2921
1054,650,1259
1055,1094,571
1056,689,169
1057,954,1158
1058,28,1390
1059,737,2246
1060,178,3706
1061,1224,3660
1062,243,4271
1063,748,1175
1064,203,3525
1065,1451,735
1066,402,2947
1067,68,1479
1068,471,2328
1069,1068,2016
1070,454,3568
1071,946,3188
1072,97,250
1073,491,1263
1074,501,1192
1075,1495,2390
1076,962,2312
1077,1129,843
1078,1426,3623
1079,273,610
1080,110,2263
1081,898,2321
1082,144,1723
1083,123,4002
1084,1217,4807
1085,4,1600
1086,613,1004
1087,399,607
1088,538,2829
1089,971,5044
1090,562,4340
1091,322,2301
1092,262,3643
1093,399,4946
1094,779,4822
1095,889,1992
1096,329,1043
1097,104,1211
1098,421,2254
1099,1351,4691
1100,1485,2454
1101,89,1026
1102,1244,3037
1103,844,4888
1104,534,2138
1105,1109,4759
1106,939,3602
1107,1467,4335
1108,982,1330
1109,721,4616
1110,187,3791
1111,1183,4215
1112,450,2095
1113,991,1935
1114,1210,703
1115,91,3425
1116,841,2823
1117,1029,4610
1118,132,2567
1119,1350,5001
1120,540,5121
1121,306,1815
1122,808,4735
1123,1192,302
1124,336,2751
1125,759,1542
