,herb,target
0,685,2112
1,699,2518
2,217,4752
3,1011,492
4,304,4015
5,482,2518
6,1042,1488
7,163,352
8,701,3839
9,321,146
10,557,2056
11,1115,1942
12,500,541
13,382,2287
14,878,151
15,1224,2844
16,1170,4185
17,1197,1508
18,375,1313
19,851,35
20,713,453
21,242,3394
22,1436,1846
23,1237,5200
24,570,3250
25,766,3027
26,459,4695
27,1450,3703
28,851,1840
29,588,94
30,933,1095
31,170,1681
32,1025,5000
33,1080,1812
34,862,146
35,849,521
36,959,1362
37,1325,2576
38,1380,843
39,983,4937
40,396,691
41,242,2518
42,1204,705
43,1422,2810
44,920,553
45,1391,3864
46,52,3668
47,1299,5113
48,977,2190
49,164,3252
50,1170,871
51,139,1812
52,85,816
53,912,5181
54,932,1692
55,917,3037
56,418,1812
57,513,1692
58,203,4962
59,82,1701
60,890,4917
61,388,843
62,235,5181
63,925,3171
64,87,553
65,127,4777
66,1150,2320
67,428,565
68,270,4196
69,1182,965
70,963,2518
71,884,3965
72,103,4021
73,1466,1871
74,1225,3122
75,270,1739
76,248,662
77,442,3273
78,272,3904
79,274,2157
80,1438,722
81,1036,3668
82,978,2337
83,170,526
84,864,4579
85,408,3771
86,1242,4250
87,1267,854
88,1301,4221
89,962,4777
90,761,893
91,851,2842
92,1360,3228
93,893,986
94,720,526
95,1252,469
96,851,1890
97,947,131
98,1042,3127
99,1393,2157
100,963,4815
101,701,192
102,869,2337
103,293,1871
104,178,3252
105,1108,830
106,789,907
107,320,5065
108,977,2437
109,900,843
110,309,3171
111,238,5050
112,1437,5181
113,22,3075
114,1297,4573
115,1424,4573
116,1068,495
117,82,5148
118,269,1474
119,197,1128
120,588,2899
121,40,2630
122,482,564
123,189,1911
124,193,1783
125,626,4605
126,807,3517
127,963,4589
128,1105,971
129,1375,2056
130,1371,5064
131,382,4250
132,663,647
133,82,1702
134,64,1812
135,21,3839
136,123,722
137,1085,1297
138,203,142
139,712,2899
140,479,34
141,472,2129
142,376,5181
143,89,4937
144,235,4250
145,1017,4856
146,256,1722
147,287,1739
148,1242,3699
149,328,2748
150,46,722
151,363,1212
152,570,1692
153,873,4838
154,947,647
155,648,2070
156,442,2163
157,1474,2815
158,1360,4273
159,1421,4837
160,1195,3252
161,688,1885
162,1449,4736
163,1069,4765
164,87,3182
165,975,4810
166,1230,4842
167,160,1870
168,621,3027
169,511,647
170,1351,3633
171,219,753
172,1351,34
173,138,4964
174,170,2655
175,869,3252
176,1380,2335
177,669,1442
178,399,4624
179,1166,1212
180,644,2047
181,270,3668
182,170,4049
183,1371,4315
184,784,1332
185,1443,1783
186,1375,444
187,460,146
188,1173,3703
189,395,4082
190,634,1320
191,755,565
192,920,3174
193,409,2000
194,428,507
195,587,1701
196,60,2010
197,1437,4777
198,338,146
199,1380,2205
200,1111,3627
201,449,3965
202,557,751
203,182,2726
204,1168,1353
205,1449,4573
206,1186,409
207,1054,2205
208,728,4596
209,102,182
210,1366,1587
211,1169,1366
212,1047,2914
213,434,492
214,1122,146
215,150,4250
216,1204,2518
217,1371,1512
218,886,3016
219,5,495
220,1361,77
221,320,4588
222,776,2810
223,1315,1678
224,1161,192
225,1183,2726
226,21,750
227,706,110
228,720,4093
229,993,1743
230,392,4690
231,1186,1259
232,1375,2457
233,1356,3665
234,1461,722
235,893,4937
236,1379,892
237,127,2552
238,862,2687
239,1039,3152
240,587,538
241,1161,2810
242,1450,192
243,1224,1508
244,239,4937
245,947,1362
246,123,2195
247,85,628
248,304,4632
249,768,495
250,884,4045
251,380,3319
252,1380,4752
253,1456,3252
254,406,526
255,390,2630
256,372,2382
257,482,3171
258,82,1320
259,269,37
260,873,4632
261,1276,3091
262,1371,2609
263,906,1699
264,256,1128
265,520,1075
266,1047,1911
267,968,5098
268,1173,2743
269,1234,3668
270,293,521
271,543,1508
272,1047,1141
273,579,2982
274,1457,4273
275,436,2521
276,1105,2335
277,934,1508
278,27,1587
279,372,4880
280,719,4884
281,242,3252
282,1373,986
283,906,2609
284,1487,3105
285,955,492
286,182,843
287,82,816
288,635,1755
289,602,26
290,1356,4674
291,1197,1911
292,339,4736
293,969,2818
294,932,4273
295,190,1488
296,519,2335
297,101,409
298,376,444
299,1338,843
300,1325,5106
301,568,2205
302,1112,2965
303,884,4467
304,201,1812
305,1137,2702
306,510,5106
307,236,2908
308,380,1128
309,329,5181
310,1065,134
311,1042,2302
312,802,526
313,270,843
314,297,2157
315,224,2287
316,1381,971
317,478,146
318,178,4867
319,643,163
320,970,647
321,1063,843
322,351,4736
323,920,1128
324,978,5148
325,968,1022
326,780,2112
327,1436,2515
328,939,3436
329,1214,3240
330,1111,1474
331,375,3665
332,12,2634
333,1140,4838
334,731,3171
335,637,4937
336,1150,5200
337,502,2189
338,1437,1831
339,977,4783
340,1380,627
341,260,1701
342,127,4856
343,587,4253
344,367,5183
345,780,1812
